heading,chunk_id,word_count,text
2.6.5 Task Carried Out in the Public Interest,0,75,"Where Institute for Supply Management needs to perform a task that it believes is in the public interest or as part of an official duty then the data subject’s consent will not be requested. The assessment of the public interest or official duty will be documented and made available as evidence where required. For example, some of research performed by the Report on Business® group and the CAPS Research group may fall into this area."
2.6.6 Legitimate Interests,0,57,"If the processing of specific personal data is in the legitimate interests of Institute for Supply Management and is judged not to affect the rights and freedoms of the data subject in a significant way, then this may be defined as the lawful reason for the processing under GDPR. The reasoning behind this view will be documented."
2.7 Privacy by Design,0,130,"Institute for Supply Management has adopted the principle of privacy by design and will ensure that the definition and planning of all new or significantly changed systems that collect or process personal data will be subject to due consideration of privacy issues, including the completion of one or more data protection impact assessments. The data protection impact assessment will include: Consideration of how personal data will be processed and for what purposes Assessment of whether the proposed processing of personal data is both necessary and proportionate to the purpose(s) Assessment of the risks to individuals in processing the personal data What controls are necessary to address the identified risks and demonstrate compliance with legislation Use of techniques such as data minimization and pseudonymisation will be considered where applicable and appropriate."
2.8 Contracts Involving the Processing of,0,47,"Personal Data Institute for Supply Management will ensure that all relationships it enters into that involve the processing of personal data are subject to a documented contract that includes the specific information and terms required by the GDPR. For more information, see the GDPR Controller-Processor Agreement Policy."
2.9 International Transfers of Personal Data,0,48,Transfers of personal data outside the European Union and China borders will be carefully reviewed prior to the transfer taking place to ensure that they fall within the limits imposed by the GDPR and PIPL. ISM does not currently have any offices within the EU nor China borders.
2.10 Data Protection Officer and/or Data Handler,0,112,"A defined role of Data Protection Officer (DPO) is required under the GDPR if an organization is a public authority, if it performs large scale monitoring or if it processes particularly sensitive types of data on a large scale. The DPO is required to have an appropriate level of knowledge and can either be an in-house resource or outsourced to an appropriate service provider. Based on these criteria, Institute for Supply Management does not require a Data Protection Officer to be appointed. A “PI handler” refers to organizations and individuals that independently determine the purposes and means of processing PI. Institute for Supply Management’s data handlers can be reached at 1+ 480.752.6276."
2.11 Breach Notification,0,103,"It is Institute for Supply Management’s policy to be fair and proportionate when considering the actions to be taken to inform affected parties regarding breaches of personal data. In line with the GDPR, where a breach is known to have occurred which is likely to result in a risk to the rights and freedoms of individuals, the relevant supervisory authority will be informed within 72 hours following the knowledge of the incident and pursuant to legal and technical guidance. This will be managed in accordance with our Information Security Incident Response Procedure which sets out the overall process of handling information security incidents."
2.12 Addressing Compliance to the GDPR,0,174,The following actions are undertaken to ensure that Institute for Supply Management complies at all times with the accountability principle of the GDPR: The legal basis for processing personal data is clear and unambiguous All staff involved in handling personal data understand their responsibilities for following good data protection practice Training in data protection has been provided to all staff Rules regarding consent are followed Routes are available to data subjects wishing to exercise their rights regarding personal data and such inquiries are handled effectively Annual reviews of procedures involving personal data are carried out Privacy by design is adopted for all new or changed systems and processes The following documentation of processing activities is recorded: o Organization name and relevant details o Purposes of the personal data processing o Categories of individuals and personal data processed o Categories of personal data recipients o Agreements and mechanisms for transfers of personal data to non-EU countries including details of controls in place o Personal data retention schedules o Relevant technical and organizational controls in place
2.12 Addressing Compliance to the GDPR,1,24,personal data to non-EU countries including details of controls in place o Personal data retention schedules o Relevant technical and organizational controls in place
2.13 Addressing PIPL Compliance,0,102,"Any organization or individual has the right to file a complaint with the relevant enforcement authorities about a PI handler’s unlawful practices. PIPL Art. 65. Where PI handlers reject individuals’ requests to exercise their rights, individuals may file a lawsuit in court. PIPL Art. 50. Where illegal processing of PI harms the rights and interests of individuals, the procuratorates, consumer organizations prescribed by the law, and other organizations designated by the relevant enforcement authorities may bring an action before a court. PIPL Art. 70. These actions are reviewed on a regular basis as part of the management process concerned with data protection."
